URL,Title,Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
https://ikman.lk/en/ad/toyota-taisor-v-grade-blacktop-2026-for-sale-colombo-36,Toyota Taisor V GRADE BLACKTOP 2026,"Rs 12,290,000",Toyota,Taisor,V GRADE BLACKTOP,2026,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-taisor-v-grade-highest-pack-2026-for-sale-colombo-26,Toyota Taisor V Grade HIGHEST PACK 2026,"Rs 11,990,000",Toyota,Taisor,V Grade HIGHEST PACK,2026,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-mark-x-2007-for-sale-colombo-16,Toyota Mark X 2007,"Rs 7,500,000",Toyota,Mark,X 2007,2007,Used,Automatic,Saloon,Petrol,"2,490 cc","206,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-ice-pack-2006-for-sale-colombo,Toyota Land Cruiser Sahara 2012,"Rs 49,000,000",Toyota,Land Cruiser Sahara,Toyota,2012,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","115,000 km"
https://ikman.lk/en/ad/toyota-yaris-x-grade-2023-for-sale-colombo-292,Toyota Yaris x grade 2023,"Rs 8,590,000",Toyota,Yaris,x grade,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","75,000 km"
https://ikman.lk/en/ad/toyota-raize-z-highest-grade-2026-for-sale-colombo,Toyota Raize Z HIGHEST GRADE 2026,"Rs 14,150,000",Toyota,Raize,Z HIGHEST GRADE,2026,Brand New,Automatic,SUV / 4x4,Hybrid,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-premio-g-superior-2018-for-sale-colombo-1134,Toyota Premio G Superior 2018,"Rs 15,650,000",Toyota,Premio,G Superior,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","81,000 km"
https://ikman.lk/en/ad/toyota-voxy-s-z-highest-grade-2025-for-sale-colombo,Toyota Voxy S Z HIGHEST GRADE 2025,"Rs 31,250,000",Toyota,Voxy,S Z HIGHEST GRADE,2025,Brand New,Automatic,,Hybrid,"1,800 cc",0 km
https://ikman.lk/en/ad/toyota-raize-12-hybrid-2024-for-sale-colombo-3,Toyota Raize 1.2 Hybrid 2024,"Rs 13,650,000",Toyota,Raize,1.2 Hybrid,2024,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,200 cc","14,000 km"
https://ikman.lk/en/ad/toyota-taisor-v-grade-2026-for-sale-colombo-132,Toyota Taisor V GRADE 2026,"Rs 11,700,000",Toyota,Taisor,V GRADE,2026,Brand New,Automatic,SUV / 4x4,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-premio-g-superior-2015-for-sale-colombo-602,Toyota Premio G Superior 2015,"Rs 14,500,000",Toyota,Premio,G Superior,2015,Used,Automatic,Saloon,Petrol,"1,500 cc","81,217 km"
https://ikman.lk/en/ad/toyota-axio-x-grade-2014-for-sale-colombo-219,Toyota Axio X Grade 2014,"Rs 8,975,000",Toyota,Axio,X Grade,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc","170,000 km"
https://ikman.lk/en/ad/toyota-hilux-revo-28-double-cab-2025-for-sale-colombo,Toyota Hilux Revo 2.8 double cab 2025,"Rs 25,650,000",Toyota,Hilux,Revo 2.8 double cab,2025,Brand New,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-raize-z-2025-for-sale-colombo-120,Toyota Raize Z 2025,"Rs 14,900,000",Toyota,Raize,Z,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,200 cc",25 km
https://ikman.lk/en/ad/toyota-land-cruiser-prado-2013-for-sale-colombo-82,Toyota Land Cruiser Prado 2013,"Rs 31,600,000",Toyota,Land Cruiser Prado,,2013,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","85,000 km"
https://ikman.lk/en/ad/toyota-carina-at-192-1995-for-sale-colombo-1,Toyota Carina AT 192 1995,"Rs 3,200,000",Toyota,Carina,AT 192,1995,Used,Automatic,Saloon,Petrol,"1,500 cc","267,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-zx-v8-2015-for-sale-colombo-15,Toyota Land Cruiser Sahara ZX V8 2015,"Rs 54,500,000",Toyota,Land Cruiser Sahara,ZX V8,2015,Used,Automatic,SUV / 4x4,Petrol,"4,600 cc","61,000 km"
https://ikman.lk/en/ad/toyota-yaris-x-push-start-safety-2023-for-sale-colombo-7,Toyota Yaris X Push Start Safety 2023,"Rs 8,900,000",Toyota,Yaris,X Push Start Safety,2023,Reconditioned,Automatic,Hatchback,Hybrid,"1,000 cc","42,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-lc300-zx-2023-for-sale-colombo-5,Toyota Land Cruiser LC300 ZX 2023,"Rs 88,500,000",Toyota,Land Cruiser,LC300 ZX,2023,Used,Automatic,SUV / 4x4,Petrol,"3,500 cc","7,700 km"
https://ikman.lk/en/ad/toyota-taisor-v-grade-highest-spec-2026-for-sale-colombo-50,Toyota Taisor V Grade Highest Spec 2026,"Rs 11,875,000",Toyota,Taisor,V Grade Highest Spec,2026,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-prius-phv-2012-for-sale-colombo-1,Toyota Prius PHV 2012,"Rs 11,000,000",Toyota,Prius,PHV,2012,Used,Automatic,Hatchback,Hybrid,"1,800 cc","144,000 km"
https://ikman.lk/en/ad/toyota-raize-hybrid-body-kit-2026-for-sale-colombo-2,Toyota Raize HYBRID-BODY KIT 2026,"Rs 15,450,000",Toyota,Raize,HYBRID-BODY KIT,2026,Brand New,Automatic,Hatchback,Hybrid,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj150-txl-highest-s-2023-for-sale-colombo,Toyota Land Cruiser Prado TRJ150 TXL Highest S 2023,"Rs 53,900,000",Toyota,Land Cruiser Prado,TRJ150 TXL Highest S,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,700 cc","11,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj250-2024-for-sale-colombo-13,Toyota Land Cruiser Prado TRJ250 2024,"Rs 55,000,000",Toyota,Land Cruiser Prado,TRJ250,2024,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","6,000 km"
https://ikman.lk/en/ad/toyota-camry-2013-for-sale-colombo-85,Toyota Camry 2013,"Rs 14,750,000",Toyota,Camry,Toyota Camry,2013,Used,Automatic,Saloon,Hybrid,"2,500 cc","72,109 km"
https://ikman.lk/en/ad/toyota-harrier-z-leather-petrol-2024-for-sale-colombo-8,Toyota Harrier Z Leather Petrol 2024,"Rs 38,500,000",Toyota,Harrier,Z Leather Petrol,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,000 cc","12,700 km"
https://ikman.lk/en/ad/toyota-harrier-spical-2000-for-sale-colombo,Toyota Harrier 2000,"Rs 7,100,000",Toyota,Harrier,Toyota,2000,Used,Tiptronic,SUV / 4x4,Petrol,"1,986 cc","298,844 km"
https://ikman.lk/en/ad/toyota-axio-2014-for-sale-colombo-1573,Toyota Axio 2014,"Rs 9,600,000",Toyota,Axio,,2014,Used,Automatic,Saloon,Hybrid,"1,490 cc","157,100 km"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-120-tx-limited-2006-for-sale-colombo,Toyota Land Cruiser Prado 120 TX Limited 2006,"Rs 16,000,000",Toyota,Land Cruiser Prado,120 TX Limited,2006,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","197,700 km"
https://ikman.lk/en/ad/toyota-hilux-revo-28-modellista-2025-for-sale-colombo-1,Toyota Hilux Revo 2.8 Modellista 2025,"Rs 25,650,000",Toyota,Hilux,Revo 2.8 Modellista,2025,Brand New,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-corolla-141-gli-2012-for-sale-colombo-1,Toyota Corolla 141 GLI 2012,"Rs 8,000,000",Toyota,Corolla,141 GLI,2012,Used,Automatic,Saloon,Petrol,"1,600 cc","131,000 km"
https://ikman.lk/en/ad/toyota-vitz-edition-3-2019-for-sale-colombo-399,Toyota Vitz Edition 3 2019,"Rs 8,650,000",Toyota,Vitz,Edition 3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","91,000 km"
https://ikman.lk/en/ad/toyota-raize-z-auto-parking-bsm-2025-for-sale-colombo-4,Toyota Raize Z Auto/Parking BSM 2025,"Rs 14,650,000",Toyota,Raize,Z Auto/Parking BSM,2025,Brand New,Automatic,Station wagon,Hybrid,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-2010-for-sale-colombo-4,Toyota Land Cruiser Prado TX 2010,"Rs 31,500,000",Toyota,Land Cruiser Prado,TX,2010,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","71,000 km"
