Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"Rs 12,500,000",Toyota,Raize,2024,"9,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 26,500,000",Toyota,Hilux,2025,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 8,950,000",Toyota,Yaris,2023,"75,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 26,500,000",Toyota,Hilux,2025,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 13,000,000",Toyota,Raize,2023,"20,113 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 8,950,000",Toyota,Yaris,2023,"80,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 18,500,000",Toyota,Yaris Ativ,2025,0 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 13,700,000",Toyota,Corolla,2023,"32,000 km",Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 8,500,000",Toyota,Vitz,2018,"82,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 64,950,000",Toyota,Alphard,2024,"4,000 km",Automatic,Hybrid,"2,500 cc",Reconditioned
"Rs 64,450,000",Toyota,Alphard,2024,"7,000 km",Automatic,Hybrid,"2,500 cc",Reconditioned
"Rs 16,500,000",Toyota,Voxy,2014,"129,000 km",Automatic,Petrol,"1,800 cc",Used
"Rs 5,550,000",Toyota,Vitz,2008,"170,000 km",Automatic,Petrol,990 cc,Used
"Rs 14,900,000",Toyota,Allion,2016,"140,000 km",Automatic,Petrol,"1,600 cc",Used
"Rs 14,250,000",Toyota,Raize,2025,"5,000 km",Automatic,Hybrid,"1,200 cc",Reconditioned
"Rs 17,800,000",Toyota,Harrier,2017,"164,000 km",Tiptronic,Petrol,"2,000 cc",Used
"Rs 5,290,000",Toyota,Passo,2007,"92,500 km",Automatic,Petrol,"1,000 cc",Used
"Rs 13,500,000",Toyota,Hilux,2017,"83,000 km",Automatic,Diesel,"3,000 cc",Used
"Rs 49,500,000",Toyota,Land Cruiser Sahara,2015,"70,000 km",Tiptronic,Petrol,"4,500 cc",Used
"Rs 31,000,000",Toyota,Hilux,2026,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 8,950,000",Toyota,Yaris,2023,"98,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 31,500,000",Toyota,Hilux,2026,0 km,Tiptronic,Diesel,"2,800 cc",Brand New
