Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"5,800,000",Toyota,Yaris,2008,"343,783",Manual,Petrol,1300,Registered
"9,900,000",Toyota,Axio,2015,"98,000",Automatic,Hybrid,1500,Registered
"9,000,000",Toyota,Yaris,2023,0,Automatic,Petrol,1000,Registered
"7,250,000",Toyota,Aqua,2014,"129,000",Automatic,Hybrid,1500,Registered
"14,200,000",Toyota,Premio,2017,"89,000",Automatic,Petrol,1496,Registered
"1,090,000",Toyota,Ke72,1987,0,Manual,Petrol,1200,Registered
"8,200,000",Toyota,Premio,2008,"164,000",Automatic,Petrol,1500,Registered
"2,675,000",Toyota,Carina,1995,0,Manual,Diesel,2000,Registered
"9,850,000",Toyota,Yaris,2022,700,Automatic,Petrol,650,Registered
"10,500,000",Toyota,Prius,2014,"93,000",Automatic,Hybrid,1200,Registered
"12,500,000",Toyota,Axio,2018,"145,000",Automatic,Hybrid,1200,Registered
"8,000,000",Toyota,Vitz,2018,"92,700",Automatic,Petrol,1000,Registered
"13,850,000",Toyota,Premio,2017,"68,000",Automatic,Petrol,1400,Registered
"4,800,000",Toyota,Vitz,2007,0,Automatic,Petrol,1000,Registered
"4,300,000",Toyota,Vitz,2007,"12,800,000",Automatic,Petrol,1000,Registered
"5,400,000",Toyota,Passo,2007,"32,000",Automatic,Petrol,1000,Registered
"5,600,000",Toyota,Vios,2007,"164,000",Automatic,Petrol,1500,Registered
"5,500,000",Toyota,Vitz,2010,"169,000",Automatic,Petrol,1000,Registered
"3,000,000",Toyota,Corona,1999,"252,000",Manual,Diesel,1975,Registered
"6,700,000",Toyota,Axio,2007,"122,000",Automatic,Petrol,1350,Registered
"5,075,000",Toyota,Vitz,2007,"234,000",Automatic,Petrol,100,Registered
"6,385,000",Toyota,Prius,2007,"147,000",Automatic,Hybrid,1498,Registered
"7,300,000",Toyota,Vitz,2016,"132,000",Automatic,Petrol,1000,Registered
"6,400,000",Toyota,Allion,2003,"207,000",Automatic,Petrol,1500,Registered
"9,875,000",Toyota,Axio,2016,"160,000",Automatic,Hybrid,1500,Registered
"5,700,000",Toyota,Vitz,2011,"140,000",Automatic,Petrol,1000,Registered
"5,700,000",Toyota,Vitz,2007,"140,000",Automatic,Petrol,1000,Registered
"6,950,000",Toyota,Aqua,2012,"190,000",Automatic,Petrol,1500,Registered
"6,800,000",Toyota,Vitz,2008,"150,000",Automatic,Petrol,1000,Registered
"6,850,000",Toyota,Aqua,2013,"160,000",Automatic,Petrol,1000,Registered
"5,100,000",Toyota,Vios,2003,"198,000",Automatic,Petrol,1500,Registered
"14,550,000",Toyota,Premio,2016,"67,000",Automatic,Petrol,1500,Registered
"6,850,000",Toyota,Axio,2008,"270,000",Automatic,Petrol,1500,Registered
"8,650,000",Toyota,Axio,2013,"110,000",Automatic,Petrol,1500,Registered
"6,000,000",Toyota,Vitz,2008,"116,000",Automatic,Petrol,1000,Registered
"5,350,000",Toyota,Vios,2003,"161,000",Automatic,Diesel,1496,Registered
"8,590,000",Toyota,Vitz,2019,"53,000",Automatic,Petrol,1000,Registered
"975,000",Toyota,DX Wagon,1987,"150,000",Manual,Petrol,1300,Registered
"8,675,000",Toyota,Aqua,2015,"132,000",Automatic,Petrol,1500,Registered
"6,000,000",Toyota,Vitz,2010,"134,000",Automatic,Petrol,1000,Registered
"9,350,000",Toyota,Aqua,2015,"107,000",Automatic,Petrol,1300,Registered
"5,100,000",Toyota,Starlet,1998,"120,000",Automatic,Petrol,1330,Registered
"11,200,000",Toyota,Premio,2013,"180,000",Automatic,Petrol,1500,Registered
"6,850,000",Toyota,Aqua,2012,"100,000",Automatic,Hybrid,1500,Registered
"5,375,000",Toyota,Vios,2004,0,Automatic,Petrol,1500,Registered
"7,350,000",Toyota,Aqua,2013,"148,000",Automatic,Petrol,850,Registered
"8,675,000",Toyota,Aqua,2015,0,Automatic,Diesel,1400,Registered
"5,150,000",Toyota,Vios,2009,"199,000",Automatic,Petrol,1500,Registered
"4,800,000",Toyota,Vios,2004,"175,000",Automatic,Petrol,1500,Registered
"9,700,000",Toyota,Yaris,2024,0,Automatic,Petrol,1500,Registered
"13,000,000",Toyota,Premio,2017,"110,000",Automatic,Hybrid,1500,Registered
"9,550,000",Toyota,Yaris,2024,"10,000",Automatic,Petrol,1000,Registered
"5,600,000",Toyota,Corolla,2003,"164,876",Automatic,Hybrid,1500,Registered
"5,600,000",Toyota,Vitz,2008,"470,000",Automatic,Hybrid,1000,Registered
"7,350,000",Toyota,Aqua,2013,"149,000",Automatic,Hybrid,1500,Registered
"5,650,000",Toyota,Carina,2000,"214,000",Automatic,Petrol,1790,Registered
"5,800,000",Toyota,Vitz,2007,"89,000",Automatic,Petrol,1490,Registered
"1,700,000",Toyota,Corona,1991,0,Manual,Petrol,1490,Registered
"8,450,000",Toyota,Yaris,2023,"48,000",Automatic,Petrol,1400,Registered
"8,500,000",Toyota,Aqua,2015,"119,000",Automatic,Petrol,1490,Registered
"3,450,000",Toyota,Corolla,1999,"197,000",Manual,Petrol,1500,Registered
"7,100,000",Toyota,Aqua,2012,"230,000",Automatic,Hybrid,1500,Registered
"6,700,000",Toyota,Aqua,2012,"150,000",Automatic,Hybrid,1500,Registered
"6,850,000",Toyota,Aqua,2013,"160,000",Automatic,Hybrid,1500,Registered
"7,800,000",Toyota,Aqua,2015,"183,679",Automatic,Petrol,1500,Registered
"10,800,000",Toyota,Prius,2014,"135,000",Automatic,Hybrid,1800,Registered
"7,900,000",Toyota,Axio,2010,"218,000",Manual,Petrol,1500,Registered
"4,250,000",Toyota,Corolla,1997,"305,000",Automatic,Diesel,1400,Registered
"7,850,000",Toyota,Axio,2007,"145,000",Automatic,Petrol,1490,Registered
"7,425,000",Toyota,Aqua,2014,"190,000",Automatic,Hybrid,1500,Registered
"7,550,000",Toyota,Vitz,2017,"140,000",Automatic,Hybrid,1000,Registered
"1,375,000",Toyota,DX Wagon,1987,"280,000",Manual,Petrol,1300,Registered
"13,800,000",Toyota,Prius,2016,"63,000",Automatic,Petrol,1500,Registered
"10,400,000",Toyota,Prius,2014,"142,000",Automatic,Petrol,1200,Registered
"10,500,000",Toyota,Prius,2013,"100,000",Automatic,Petrol,1800,Registered
"8,900,000",Toyota,Prius,2012,"130,000",Automatic,Petrol,1800,Registered
"7,100,000",Toyota,Aqua,2014,"202,000",Automatic,Petrol,980,Registered
"7,450,000",Toyota,Aqua,2013,0,Manual,Diesel,0,Registered
"6,900,000",Toyota,Aqua,2013,"125,000",Automatic,Petrol,950,Registered
"4,800,000",Toyota,Vios,2004,"175,000",Automatic,Petrol,1500,Registered
"4,500,000",Toyota,Corolla,2000,"192,000",Automatic,Petrol,1500,Registered
"4,500,000",Toyota,Vios,2004,"170,000",Automatic,Petrol,1150,Registered
"8,390,000",Toyota,Avanza,2014,"138,000",Automatic,Petrol,1500,Registered
"750,000",Toyota,Corolla,1992,"150,000",Manual,Petrol,1500,Registered
"9,175,000",Toyota,Prius,2011,"240,000",Automatic,Hybrid,1798,Registered
"7,390,000",Toyota,Vitz,2016,"120,000",Automatic,Petrol,1000,Registered
"13,500,000",Toyota,Fielder,2023,"6,600",Automatic,Hybrid,660,Registered
"7,925,000",Toyota,Aqua,2015,"172,500",Automatic,Petrol,1000,Registered
"8,500,000",Toyota,Corolla,2014,"198,990",Automatic,Hybrid,1500,Registered
"8,800,000",Toyota,Allion,2007,"188,000",Automatic,Petrol,1500,Registered
"10,827,565",Toyota,Yaris,2026,7,Automatic,Petrol,1000,Registered
"9,800,000",Toyota,Yaris Ativ,2019,"91,000",Automatic,Petrol,1198,Registered
"4,950,000",Toyota,Vitz,2007,"297,000",Automatic,Petrol,1000,Registered
"7,400,000",Toyota,Axio,2010,"250,000",Automatic,Petrol,1496,Registered
"8,400,000",Toyota,Vitz,2017,"81,000",Automatic,Petrol,990,Registered
"4,400,000",Toyota,Passo,2007,"135,000",Automatic,Petrol,1500,Registered
"13,200,000",Toyota,Axio,2018,"123,000",Automatic,Hybrid,1500,Registered
"5,550,000",Toyota,Vios,2003,"202,000",Automatic,Petrol,1500,Registered
"9,900,000",Toyota,Roomy,2023,"31,000",Automatic,Petrol,1000,Registered
"7,500,000",Toyota,Aqua,2012,"131,000",Automatic,Hybrid,1500,Registered
"9,675,000",Toyota,Premio,2011,"155,000",Automatic,Petrol,1500,Registered
"7,950,000",Toyota,Vitz,2018,"58,000",Automatic,Petrol,1000,Registered
"8,400,000",Toyota,Aqua,2015,"133,000",Automatic,Petrol,1496,Registered
"6,600,000",Toyota,Aqua,2013,"168,500",Automatic,Petrol,1200,Registered
"8,500,000",Toyota,Aqua,2015,"150,000",Automatic,Petrol,1000,Registered
"9,700,000",Toyota,Prius,2013,"253,000",Automatic,Petrol,1200,Registered
"7,450,000",Toyota,Vitz,2016,"130,000",Automatic,Petrol,990,Registered
"14,100,000",Toyota,Premio,2017,"50,000",Automatic,Petrol,1800,Registered
"6,150,000",Toyota,Belta,2008,0,Manual,Petrol,1490,Registered
"8,450,000",Toyota,Axio,2014,"183,000",Automatic,Petrol,1400,Registered
"8,300,000",Toyota,Axio,2011,"180,000",Automatic,Petrol,1459,Registered
"16,000,000",Toyota,Premio,2018,"90,000",Automatic,Petrol,1490,Registered
"11,575,000",Toyota,Axio,2017,"134,000",Automatic,Petrol,1500,Registered
"8,100,000",Toyota,Aqua,2015,"77,000",Automatic,Petrol,1496,Registered
"6,800,000",Toyota,Axio,2007,"214,000",Manual,Petrol,900,Registered
"9,800,000",Toyota,Axio,2015,"122,000",Manual,Petrol,1000,Registered
"10,700,000",Toyota,Prius,2012,"160,000",Automatic,Hybrid,1800,Registered
"7,695,000",Toyota,Pixis,2026,"3,000",Automatic,Petrol,650,Registered
"5,895,000",Toyota,Corolla,2002,"128,644",Automatic,Diesel,2180,Registered
"6,800,000",Toyota,Aqua,2013,"160,000",Automatic,Hybrid,1800,Registered
"15,100,000",Toyota,Premio,2018,"60,000",Automatic,Petrol,1500,Registered
"11,350,000",Toyota,Axio,2017,"153,000",Automatic,Petrol,1200,Registered
"7,400,000",Toyota,Vitz,2017,"98,000",Automatic,Petrol,1000,Registered
"6,165,000",Toyota,Yaris,2007,"146,000",Automatic,Petrol,1300,Registered
"10,400,000",Toyota,Axio,2016,"53,000",Automatic,Hybrid,1500,Registered
"13,900,000",Toyota,Premio,2017,"71,000",Automatic,Diesel,1800,Registered
"7,550,000",Toyota,Aqua,2013,"140,000",Automatic,Hybrid,1500,Registered
"8,500,000",Toyota,Corolla,2012,"93,000",Automatic,Petrol,1600,Registered
"9,875,000",Toyota,Premio,2013,"190,000",Automatic,Hybrid,1500,Registered
"10,900,000",Toyota,Prius,2014,"135,000",Manual,Petrol,1000,Registered
"8,250,000",Toyota,Aqua,2014,"163,000",Automatic,Petrol,850,Registered
"3,250,000",Toyota,Starlet,1995,"147,500",Manual,Petrol,1300,Registered
"5,075,000",Toyota,Vitz,2007,"232,000",Automatic,Petrol,1000,Registered
"11,300,000",Toyota,Premio,2013,"12,345",Automatic,Petrol,1500,Registered
"8,650,000",Toyota,Premio,2008,"135,000",Automatic,Petrol,958,Registered
"13,400,000",Toyota,CHR,2018,"115,000",Automatic,Petrol,1200,Registered
"10,800,000",Toyota,Premio,2014,"176,000",Automatic,Petrol,1797,Registered
"5,300,000",Toyota,Vitz,2007,"120,000",Automatic,Petrol,1000,Registered
"3,225,000",Toyota,Corolla,1997,"198,000",Automatic,Diesel,1400,Registered
"7,850,000",Toyota,Vitz,2017,"70,000",Automatic,Petrol,1500,Registered
"7,400,000",Toyota,Vitz,2017,"98,000",Automatic,Petrol,850,Registered
"6,750,000",Toyota,Allion,2002,"175,000",Automatic,Petrol,1500,Registered
"7,000,000",Toyota,Aqua,2013,"203,500",Automatic,Petrol,1500,Registered
"5,400,000",Toyota,Vitz,2008,"165,000",Automatic,Petrol,1000,Registered
"6,900,000",Toyota,Vitz,2016,"120,000",Automatic,Petrol,900,Registered
"13,550,000",Toyota,Premio,2017,"143,000",Automatic,Petrol,1500,Registered
"6,800,000",Toyota,Aqua,2013,"199,500",Automatic,Hybrid,1500,Registered
"8,850,000",Toyota,Yaris,2023,"32,000",Automatic,Petrol,1000,Registered
"7,000,000",Toyota,Vitz,2016,"58,000",Automatic,Petrol,1500,Registered
"9,250,000",Toyota,Premio,2010,"191,000",Automatic,Hybrid,1500,Registered
"5,850,000",Toyota,Vitz,2008,"212,000",Automatic,Petrol,1300,Registered
"7,200,000",Toyota,Vitz,2016,"80,000",Automatic,Petrol,850,Registered
"6,275,000",Toyota,Corolla,2008,"210,000",Automatic,Petrol,1000,Registered
"7,100,000",Toyota,Aqua,2013,"150,000",Automatic,Hybrid,1500,Registered
"4,800,000",Toyota,Vitz,2005,"200,000",Automatic,Hybrid,1000,Registered
"10,800,000",Toyota,Prius,2014,"142,000",Automatic,Hybrid,1500,Registered
"6,600,000",Toyota,Aqua,2013,"168,000",Automatic,Hybrid,1500,Registered
"13,550,000",Toyota,Premio,2017,"143,000",Automatic,Petrol,1500,Registered
"4,350,000",Toyota,Sprinter,1997,"188,000",Automatic,Petrol,1500,Registered
"9,400,000",Toyota,Yaris,2023,200,Automatic,Petrol,990,Registered
"7,550,000",Toyota,Aqua,2012,"138,000",Automatic,Petrol,900,Registered
"1,400,000",Toyota,AE81-COROLLA,1986,"150,000",Manual,Petrol,1500,Registered
"7,800,000",Toyota,Vitz,2018,"153,000",Automatic,Petrol,1000,Registered
"8,000,000",Toyota,Aqua,2013,"107,000",Automatic,Petrol,1500,Registered
"9,700,000",Toyota,Axio,2015,"123,000",Automatic,Hybrid,1496,Registered
"7,050,000",Toyota,Aqua,2013,"191,443",Automatic,Petrol,1490,Registered
"7,000,000",Toyota,Belta,2009,"113,000",Automatic,Petrol,1300,Registered
"7,690,000",Toyota,Allion,2005,"225,000",Automatic,Petrol,1500,Registered
"9,650,000",Toyota,Yaris,2024,"35,000",Automatic,Petrol,990,Registered
"9,800,000",Toyota,Premio,2013,"123,000",Automatic,Petrol,1500,Registered
"6,300,000",Toyota,Corolla,2007,0,Automatic,Petrol,1600,Registered
"6,200,000",Toyota,Allion,2002,"160,000",Automatic,Petrol,1496,Registered
"8,500,000",Toyota,Vitz,2019,"85,000",Automatic,Hybrid,996,Registered
"7,300,000",Toyota,Allion,2007,"520,000",Automatic,Petrol,1200,Registered
"5,275,000",Toyota,Passo,2009,"49,000",Automatic,Petrol,1000,Registered
"18,500,000",Toyota,Premio,2019,"86,000",Automatic,Petrol,1500,Registered
"5,890,000",Toyota,Belta,2007,"161,000",Automatic,Petrol,1000,Registered
"4,900,000",Toyota,Vitz,2007,"1,230,000",Automatic,Hybrid,1000,Registered
"8,750,000",Toyota,Aqua,2015,"93,000",Automatic,Hybrid,1490,Registered
"13,800,000",Toyota,Prius,2016,"63,000",Automatic,Petrol,1500,Registered
"8,250,000",Toyota,Aqua,2015,"210,000",Automatic,Petrol,950,Registered
"7,350,000",Toyota,Vitz,2016,"173,700",Automatic,Petrol,1000,Registered
"6,900,000",Toyota,Corolla,2008,"149,000",Automatic,Petrol,1600,Registered
"7,000,000",Toyota,Belta,2010,"15,000",Automatic,Petrol,1000,Registered
"4,000,000",Toyota,Vitz,2004,"1,230,000",Automatic,Petrol,1000,Registered
"8,600,000",Toyota,Vitz,2019,"91,000",Automatic,Petrol,1000,Registered
"7,900,000",Toyota,Vitz,2018,"156,000",Automatic,Petrol,1000,Registered
"7,750,000",Toyota,Vitz,2017,"124,000",Automatic,Petrol,1000,Registered
"6,650,000",Toyota,Prius,2007,0,Automatic,Hybrid,1500,Registered
"11,400,000",Toyota,Axio,2017,"100,050",Automatic,Petrol,1400,Registered
"6,600,000",Toyota,Allion,2003,"207,000",Automatic,Petrol,1200,Registered
"9,000,000",Toyota,Axio,2014,"384,000",Automatic,Petrol,1500,Registered
"2,780,000",Toyota,Tercel,1996,"168,200",Automatic,Petrol,1500,Registered
"8,400,000",Toyota,Vitz,2019,"114,000",Automatic,Petrol,1000,Registered
"1,336,500",Toyota,Carina,1985,"260,000",Manual,Petrol,1450,Registered
"1,225,000",Toyota,Sprinter,1984,"260,000",Manual,Petrol,1500,Registered
"4,650,000",Toyota,Passo,2004,"191,000",Automatic,Petrol,990,Registered
"9,500,000",Toyota,Axio,2015,"187,000",Automatic,Hybrid,1500,Registered
"6,500,000",Toyota,Axio,2007,210,Automatic,Hybrid,1500,Registered
"9,400,000",Toyota,Yaris,2023,"20,000",Automatic,Petrol,990,Registered
"14,200,000",Toyota,Premio,2016,"81,000",Automatic,Petrol,1500,Registered
"6,100,000",Toyota,IST,2007,"149,000",Automatic,Petrol,1500,Registered
"10,600,000",Toyota,Yaris,2025,700,Automatic,Petrol,990,Registered
"9,000,000",Toyota,Prius,2011,"188,175",Automatic,Hybrid,1800,Registered
"8,550,000",Toyota,Yaris,2023,"6,600",Automatic,Petrol,660,Registered
"6,950,000",Toyota,Allion,2004,0,Automatic,Petrol,1500,Registered
"9,000,000",Toyota,Axio,2015,"120,000",Automatic,Hybrid,1500,Registered
"12,300,000",Toyota,Axio,2018,"117,000",Automatic,Hybrid,1500,Registered
"6,200,000",Toyota,Aqua,2012,"160,000",Manual,Hybrid,1500,Registered
"11,700,000",Toyota,Axio,2017,0,Automatic,Hybrid,1500,Registered
"10,950,000",Toyota,Axio,2016,"99,000",Automatic,Hybrid,1500,Registered
"7,650,000",Toyota,Vitz,2017,"137,000",Automatic,Petrol,1500,Registered
"8,050,000",Toyota,Vitz,2018,"61,800",Automatic,Petrol,1500,Registered
"7,490,000",Toyota,Tank,2016,"118,000",Automatic,Petrol,1000,Registered
"5,090,000",Toyota,Vitz,2007,"140,000",Automatic,Petrol,1000,Registered
"7,800,000",Toyota,Aqua,2012,"159,000",Automatic,Hybrid,1500,Registered
"3,550,000",Toyota,Sprinter,1997,"196,000",Automatic,Petrol,1500,Registered
"2,990,000",Toyota,Corolla,1998,"227,000",Automatic,Diesel,2000,Registered
"4,650,000",Toyota,Passo,2005,"191,000",Automatic,Petrol,990,Registered
"2,670,000",Toyota,Tercel,1995,"120,000",Manual,Petrol,1300,Registered
"9,300,000",Toyota,Axio,2015,"90,000",Automatic,Hybrid,1500,Registered
"8,100,000",Toyota,Axio,2014,"658,000",Automatic,Petrol,1200,Registered
"13,000,000",Toyota,Premio,2016,"139,000",Automatic,Petrol,1500,Registered
"17,600,000",Toyota,Corolla,2022,0,Automatic,Petrol,1496,Registered
"9,775,000",Toyota,Prius,2013,"264,000",Automatic,Hybrid,1800,Registered
"2,590,000",Toyota,Corolla,1991,"300,000",Manual,Diesel,2000,Registered
"9,600,000",Toyota,Yaris,2024,"28,210",Automatic,Petrol,1500,Registered
"3,250,000",Toyota,Tercel,1999,"247,000",Manual,Petrol,1200,Registered
"590,000",Toyota,Corolla,1971,0,Manual,Petrol,1200,Registered
"8,975,000",Toyota,Yaris,2023,"39,700",Automatic,Petrol,1000,Registered
"8,700,000",Toyota,Vitz,2019,"30,700",Automatic,Petrol,1000,Registered
"17,500,000",Toyota,Premio,2019,"30,700",Automatic,Petrol,1500,Registered
"6,375,000",Toyota,Corolla,2008,"210,000",Automatic,Petrol,1200,Registered
"10,900,000",Toyota,Axio,2016,"200,000",Automatic,Petrol,1200,Registered
"6,700,000",Toyota,Aqua,2013,"160,000",Automatic,Petrol,1000,Registered
"8,600,000",Toyota,Prius,2011,"200,000",Automatic,Petrol,1200,Registered
"12,500,000",Toyota,Axio,2016,"155,000",Automatic,Petrol,1200,Registered
"5,000,000",Toyota,Prius,2013,"10,000",Automatic,Petrol,1500,Registered
"5,775,000",Toyota,Vitz,2007,"240,000",Automatic,Petrol,1500,Registered
"6,150,000",Toyota,Corolla,2007,0,Automatic,Petrol,1800,Registered
"2,690,000",Toyota,Corolla,1992,"300,000",Automatic,Diesel,1970,Registered
"7,750,000",Toyota,Vitz,2017,"98,000",Automatic,Petrol,1000,Registered
"7,690,000",Toyota,Tank,2018,"91,000",Automatic,Petrol,1000,Registered
"8,800,000",Toyota,Axio,2014,"140,000",Automatic,Petrol,1200,Registered
"6,900,000",Toyota,Vitz,2015,"122,000",Automatic,Petrol,1000,Registered
"9,000,000",Toyota,Axio,2015,"255,724",Automatic,Petrol,1200,Registered
"3,850,000",Toyota,Corolla,1996,"180,000",Automatic,Petrol,1500,Registered
"8,700,000",Toyota,Vitz,2019,"59,000",Automatic,Petrol,1000,Registered
"7,750,000",Toyota,Axio,2007,"250,000",Automatic,Petrol,1500,Registered
"8,450,000",Toyota,Yaris,2023,"6,600",Automatic,Petrol,660,Registered
"8,550,000",Toyota,Yaris,2023,"6,600",Automatic,Petrol,660,Registered
"5,500,000",Toyota,Corolla,2005,"220,000",Manual,Petrol,1300,Registered
"8,600,000",Toyota,Yaris,2023,"6,600",Automatic,Petrol,660,Registered
"8,050,000",Toyota,Passo,2023,"6,600",Automatic,Petrol,660,Registered
"8,000,000",Toyota,Aqua,2015,"98,000",Automatic,Petrol,1200,Registered
"9,000,000",Toyota,Premio,2013,"76,000",Manual,Petrol,1400,Registered
"18,000,000",Toyota,Yaris Ativ,2025,0,Automatic,Hybrid,1500,Registered
"5,500,000",Toyota,Vitz,2007,"137,000",Automatic,Petrol,1000,Registered
"5,500,000",Toyota,Vitz,2008,"121,600",Automatic,Petrol,1000,Registered
"8,600,000",Toyota,Yaris,2022,"5,000",Automatic,Hybrid,600,Registered
"4,550,000",Toyota,Passo,2005,"111,000",Automatic,Petrol,1000,Registered
"4,600,000",Toyota,Corolla,2002,0,Manual,Petrol,1300,Registered
"12,200,000",Toyota,Axio,2018,"117,000",Automatic,Petrol,1500,Registered
"15,700,000",Toyota,Premio,2017,"81,000",Automatic,Petrol,1500,Registered
"9,850,000",Toyota,Axio,2015,"123,000",Automatic,Petrol,1500,Registered
"7,900,000",Toyota,Axio,2009,"152,000",Automatic,Petrol,1490,Registered
"3,000,000",Toyota,AE100,1995,0,Automatic,Petrol,1000,Registered
"6,900,000",Toyota,Vitz,2008,"130,000",Automatic,Petrol,1000,Registered
"8,500,000",Toyota,Prius,2010,"180,000",Automatic,Hybrid,1290,Registered
"7,650,000",Toyota,Aqua,2013,"153,000",Automatic,Hybrid,1500,Registered
"6,850,000",Toyota,Aqua,2013,"123,456",Automatic,Hybrid,1500,Registered
"7,900,000",Toyota,Aqua,2015,"158,000",Automatic,Petrol,990,Registered
"10,800,000",Toyota,Prius,2014,"68,000",Automatic,Petrol,1298,Registered
"8,900,000",Toyota,Axio,2015,"120,000",Automatic,Petrol,1330,Registered
"13,400,000",Toyota,CHR,2018,"115,000",Automatic,Petrol,1200,Registered
"4,850,000",Toyota,Belta,2007,"100,000",Automatic,Petrol,1000,Registered
"7,500,000",Toyota,Tank,2017,"102,000",Automatic,Petrol,1000,Registered
"5,700,000",Toyota,Vitz,2007,"146,000",Automatic,Petrol,1000,Registered
"9,800,000",Toyota,Axio,2015,"82,000",Automatic,Hybrid,1500,Registered
"13,200,000",Toyota,Premio,2016,"180,000",Automatic,Hybrid,1500,Registered
"9,650,000",Toyota,Prius Alpha,2012,"232,000",Automatic,Hybrid,1500,Registered
"11,600,000",Toyota,Prius,2012,"133,000",Automatic,Hybrid,1800,Registered
"3,200,000",Toyota,Cynos,1992,"120,000",Manual,Petrol,1500,Registered
"2,800,000",Toyota,Corolla,1993,"120,000",Manual,Petrol,1500,Registered
"8,290,000",Toyota,Vitz,2018,"120,000",Manual,Petrol,990,Registered
"9,300,000",Toyota,Axio,2015,156,Automatic,Petrol,0,Registered
"7,100,000",Toyota,Vitz,2015,"130,000",Automatic,Petrol,990,Registered
"9,500,000",Toyota,Aqua,2017,"78,000",Automatic,Petrol,1000,Registered
"5,900,000",Toyota,Belta,2007,"162,000",Automatic,Petrol,1300,Registered
"9,300,000",Toyota,Premio,2010,"205,000",Automatic,Petrol,1000,Registered
"5,975,000",Toyota,Prius,2007,"195,000",Automatic,Hybrid,1490,Registered
"7,600,000",Toyota,Vitz,2016,"90,500",Automatic,Petrol,1000,Registered
"10,900,000",Toyota,Prius,2014,"172,000",Automatic,Hybrid,1800,Registered
"10,000,000",Toyota,Axio,2015,"123,000",Automatic,Petrol,1500,Registered
"1,275,000",Toyota,Carina,2001,"120,000",Automatic,Petrol,1500,Registered
"2,600,000",Toyota,Corolla,1996,"100,000",Manual,Diesel,1970,Registered
"7,800,000",Toyota,Yaris,2014,"96,000",Automatic,Petrol,1300,Registered
"2,670,000",Toyota,Corona,1987,"100,000",Manual,Petrol,1500,Registered
"5,000,000",Toyota,Vios,2003,"254,480",Automatic,Petrol,1500,Registered
"7,300,000",Toyota,Vitz,2017,"125,000",Automatic,Petrol,1000,Registered
"7,800,000",Toyota,Vitz,2018,"46,000",Automatic,Petrol,1500,Registered
"4,150,000",Toyota,Starlet,1996,"256,860",Automatic,Petrol,1330,Registered
"5,475,000",Toyota,Corolla,2002,"178,000",Automatic,Petrol,1500,Registered
"9,800,000",Toyota,Axio,2016,"134,000",Manual,Petrol,1500,Registered
"9,100,000",Toyota,Axio,2015,"156,000",Manual,Petrol,1500,Registered
"5,890,000",Toyota,Belta,2007,"161,000",Automatic,Petrol,1000,Registered
"4,350,000",Toyota,Carina,1996,0,Automatic,Petrol,1500,Registered
"7,700,000",Toyota,Aqua,2017,"80,000",Automatic,Hybrid,1400,Registered
"3,995,000",Toyota,Vitz,1999,0,Automatic,Petrol,990,Registered
"5,100,000",Toyota,Vios,2003,"120,000",Automatic,Petrol,1500,Registered
"7,900,000",Toyota,Tank,2018,"115,000",Automatic,Petrol,1500,Registered
"11,700,000",Toyota,Premio,2015,"178,000",Automatic,Petrol,1500,Registered
"13,600,000",Toyota,Axio,2024,"45,620",Automatic,Hybrid,1500,Registered
"6,600,000",Toyota,Aqua,2013,"168,500",Automatic,Petrol,1500,Registered
"7,100,000",Toyota,Aqua,2013,"180,000",Automatic,Hybrid,1500,Registered
"5,275,000",Toyota,Vitz,2007,"156,234",Automatic,Petrol,1000,Registered
"8,675,000",Toyota,Premio,2008,"170,000",Automatic,Petrol,1500,Registered
"9,300,000",Toyota,Premio,2010,"174,000",Automatic,Petrol,1500,Registered
"11,200,000",Toyota,Premio,2013,"192,000",Automatic,Petrol,1500,Registered
"11,000,000",Toyota,Premio,2013,"215,000",Automatic,Petrol,1500,Registered
"11,400,000",Toyota,Premio,2013,0,Automatic,Petrol,1500,Registered
"7,550,000",Toyota,Aqua,2014,"52,000",Automatic,Hybrid,1500,Registered
"14,500,000",Toyota,Premio,2018,"62,000",Automatic,Petrol,1500,Registered
"7,000,000",Toyota,Aqua,2013,"150,000",Automatic,Petrol,1000,Registered
"6,950,000",Toyota,Aqua,2013,"150,000",Automatic,Hybrid,1000,Registered
"9,250,000",Toyota,Premio,2010,"191,000",Automatic,Hybrid,1500,Registered
"7,690,000",Toyota,Aqua,2014,"120,000",Automatic,Hybrid,1500,Registered
"5,200,000",Toyota,Vios,2003,"87,638",Manual,Petrol,1500,Registered
"13,000,000",Toyota,Prius,2013,"133,000",Automatic,Hybrid,1800,Registered
"1,875,000",Toyota,Corolla,1987,"150,000",Manual,Petrol,1290,Registered
"9,500,000",Toyota,Prius,2014,"75,000",Automatic,Petrol,1790,Registered
"7,900,000",Toyota,Tank,2018,"127,000",Automatic,Petrol,1000,Registered
"7,390,000",Toyota,Aqua,2013,"131,000",Automatic,Hybrid,1500,Registered
"9,800,000",Toyota,Axio,2015,"82,000",Manual,Petrol,1500,Registered
"3,350,000",Toyota,Soluna,2000,"180,000",Manual,Petrol,1500,Registered
"6,690,000",Toyota,Axio,2007,"193,000",Automatic,Petrol,1500,Registered
"7,600,000",Toyota,Vitz,2017,"6,100",Automatic,Petrol,990,Registered
