Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition,vehicle_age
64450000,Toyota,Alphard,2024,7000.0,Automatic,Hybrid,2500.0,Reconditioned,2
16500000,Toyota,Voxy,2014,129000.0,Automatic,Petrol,1800.0,Used,12
5550000,Toyota,Vitz,2008,170000.0,Automatic,Petrol,990.0,Used,18
14900000,Toyota,Allion,2016,140000.0,Automatic,Petrol,1600.0,Used,10
14250000,Toyota,Raize,2025,5000.0,Automatic,Hybrid,1200.0,Reconditioned,1
17800000,Toyota,Harrier,2017,164000.0,Tiptronic,Petrol,2000.0,Used,9
5290000,Toyota,Passo,2007,92500.0,Automatic,Petrol,1000.0,Used,19
13500000,Toyota,Hilux,2017,83000.0,Automatic,Diesel,3000.0,Used,9
49500000,Toyota,Land Cruiser Sahara,2015,70000.0,Tiptronic,Petrol,4500.0,Used,11
31000000,Toyota,Hilux,2026,0.0,Automatic,Diesel,2800.0,Brand New,0
8950000,Toyota,Yaris,2023,98000.0,Automatic,Petrol,1000.0,Reconditioned,3
31500000,Toyota,Hilux,2026,0.0,Tiptronic,Diesel,2800.0,Brand New,0
8550000,Toyota,Passo,2023,12000.0,Automatic,Petrol,1000.0,Reconditioned,3
13250000,Toyota,Raize,2024,0.0,Automatic,Petrol,1000.0,Brand New,2
14450000,Toyota,Raize,2025,0.0,Automatic,Petrol,1200.0,Brand New,1
8975000,Toyota,Yaris,2023,72000.0,Automatic,Petrol,1000.0,Reconditioned,3
6000000,Toyota,Wigo,2017,91000.0,Automatic,Petrol,998.0,Used,9
16000000,Toyota,Corolla,2023,8200.0,Tiptronic,Petrol,1500.0,Reconditioned,3
12500000,Toyota,Raize,2025,18000.0,Tiptronic,Petrol,1000.0,Reconditioned,1
54200000,Toyota,Land Cruiser Prado,2023,13000.0,Tiptronic,Petrol,2700.0,Reconditioned,3
7900000,Toyota,Vitz,2017,95000.0,Automatic,Petrol,1000.0,Used,9
14600000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
28000000,Toyota,Hilux,2025,0.0,Automatic,Diesel,2800.0,Brand New,1
18550000,Toyota,Yaris,2025,0.0,Automatic,Hybrid,1500.0,Brand New,1
19250000,Toyota,Corolla,2025,0.0,Automatic,Petrol,1500.0,Brand New,1
12250000,Toyota,CHR,2017,102400.0,Automatic,Petrol,1200.0,Used,9
10650000,Toyota,Yaris,2024,5000.0,Automatic,Petrol,1000.0,Brand New,2
11500000,Toyota,Taisor,2024,0.0,Automatic,Petrol,1000.0,Brand New,2
45000000,Toyota,Yaris,2023,12000.0,Manual,Petrol,1600.0,Brand New,3
